"source_id","lat_dec","long_dec"
"578267","44.3023","-68.2033"
"581936","44.2348","-68.2000"
"581916","44.2356","-68.2070"
"580680","44.2606","-68.2097"
"566794","44.2559","-68.1997"
"569743","44.2581","-68.2295"
"568711","44.2620","-68.2339"
"581432","44.2598","-68.2389"
"576810","44.2495","-68.2408"
"564460","44.2545","-68.2445"
"580006","44.2470","-68.2531"
"567133","44.2467","-68.2661"
"564465","44.2484","-68.2603"
"1911977","44.2581","-68.2681"
"581449","44.2565","-68.2531"
"564605","44.2440","-68.2381"
"564901","44.2406","-68.2408"
"578901","44.2267","-68.2828"
"570245","44.2604","-68.2600"
"578270","44.2426","-68.2845"
"580085","44.2381","-68.2797"
"581430","44.2790","-68.2981"
"580887","44.2809","-68.2472"
"1911630","44.2681","-68.2439"
"578898","44.2651","-68.2561"
"570711","44.2681","-68.3128"
"569212","44.2662","-68.2995"
"566107","44.2712","-68.2628"
"570695","44.2942","-68.3028"
"580610","44.2881","-68.2914"
"580609","44.2854","-68.2889"
"561842","44.2842","-68.2678"
"576569","44.2726","-68.2514"
"580613","44.2840","-68.2542"
"580661","44.2859","-68.2439"
"581394","44.2917","-68.2525"
"564624","44.2890","-68.2439"
"580659","44.2815","-68.2228"
"580660","44.2834","-68.2245"
"580081","44.2145","-68.3381"
"561704","44.2223","-68.3364"
"567136","44.1523","-68.2486"
"569754","44.1745","-68.2439"
"580079","44.1445","-68.3133"
"581782","44.1620","-68.3139"
"565300","44.1601","-68.3311"
"562443","44.1770","-68.3436"
"568641","44.1834","-68.3353"
"580083","44.1759","-68.3350"
"580078","44.1640","-68.3356"
"569691","44.1690","-68.3497"
"573466","44.1906","-68.3645"
"569801","44.1923","-68.3370"
"567145","44.2026","-68.3264"
"580576","44.1876","-68.3995"
"570219","44.1134","-68.3600"
"570588","44.1204","-68.3636"
"566578","44.1181","-68.3625"
"567591","44.1267","-68.3639"
"564602","44.1337","-68.3595"
"565317","44.1323","-68.3667"
"580077","44.1290","-68.3709"
"581843","44.1348","-68.3403"
"581718","44.1395","-68.3564"
"580076","44.1398","-68.3622"
"580075","44.1440","-68.3661"
"581621","44.1431","-68.3814"
"580588","44.1392","-68.3839"
"573998","44.1512","-68.3867"
"565664","44.1559","-68.3864"
"580654","44.1029","-68.3889"
"568896","44.1095","-68.4047"
"580783","44.1023","-68.4147"
"581619","44.0981","-68.4078"
"574091","44.1426","-68.3945"
"576587","44.1584","-68.4295"
"570629","44.1784","-68.4367"
"566158","44.1829","-68.4236"
"572383","44.1898","-68.4245"
"564603","44.1879","-68.4381"
"561339","44.1717","-68.4242"
"563116","44.1795","-68.4764"
"577193","44.1576","-68.4600"
"563270","44.1420","-68.4453"
"568127","44.1362","-68.4500"
"570191","44.1359","-68.4339"
"581497","44.1451","-68.4517"
"579989","44.1426","-68.4364"
"567592","44.1276","-68.4403"
"575061","44.1179","-68.4392"
"567215","44.1142","-68.4475"
"566952","44.1329","-68.4628"
"580591","44.1304","-68.4603"
"568027","44.1323","-68.4684"
"580590","44.1290","-68.4650"
"570822","44.1129","-68.5075"
"567743","44.1426","-68.5017"
"581773","44.1426","-68.5072"
"569896","44.1226","-68.4920"
"578754","44.1170","-68.4861"
"562978","44.1092","-68.4670"
"570875","44.0979","-68.4872"
"562457","44.0826","-68.4945"
"580650","44.0904","-68.4956"
"580058","44.0851","-68.5039"
"581919","44.0929","-68.5081"
"576057","44.0884","-68.5231"
"580057","44.0995","-68.5145"
"563662","44.1940","-68.4686"
"580574","44.1848","-68.4739"
"568897","44.2006","-68.4881"
"572750","44.2076","-68.4803"
"562444","44.2009","-68.4603"
"574472","44.1837","-68.4500"
"576938","44.1876","-68.4456"
"580572","44.1895","-68.4772"
"580573","44.1862","-68.4753"
"565808","44.1845","-68.5092"
"581767","44.1645","-68.5067"
"581965","44.1570","-68.5236"
"562594","44.3026","-68.5100"
"561703","44.2401","-68.3439"
"562075","44.2412","-68.3559"
"571468","44.2362","-68.3642"
"565334","44.2506","-68.3797"
"566909","44.2567","-68.3945"
"579825","44.2629","-68.3906"
"566910","44.2567","-68.4114"
"574580","44.2667","-68.4153"
"569397","44.2601","-68.4056"
"575095","44.2809","-68.4103"
"574127","44.2851","-68.4234"
"565150","44.2740","-68.4189"
"571601","44.2898","-68.4334"
"567623","44.3040","-68.4520"
"573804","44.3367","-68.4111"
"566359","44.3248","-68.4250"
"578199","44.3342","-68.4175"
"562313","44.3379","-68.4292"
"561669","44.3504","-68.4370"
"561672","44.3470","-68.4186"
"580647","44.3509","-68.4203"
"580012","44.3895","-68.4014"
"562453","44.3823","-68.4006"
"567229","44.3834","-68.3864"
"561205","44.4084","-68.3886"
"572629","44.3970","-68.4239"
"1911695","44.3926","-68.3720"
"572471","44.3923","-68.3617"
"580776","44.4326","-68.3861"
"577302","44.4390","-68.3700"
"578233","44.4356","-68.3970"
"570662","44.2167","-68.5120"
"575655","44.2209","-68.5217"
"581816","44.2145","-68.5181"
"573600","44.2245","-68.4770"
"569352","44.2323","-68.4767"
"580569","44.2387","-68.4825"
"575343","44.2129","-68.4681"
"565490","44.2115","-68.4589"
"563842","44.2451","-68.4878"
"567219","44.2487","-68.4984"
"566326","44.2540","-68.5078"
"566916","44.2556","-68.5056"
"566676","44.2562","-68.5106"
"574846","44.2540","-68.4953"
"567965","44.2604","-68.5381"
"575413","44.2342","-68.4403"
"577376","44.2429","-68.4425"
"561585","44.2567","-68.4581"
"581504","44.2729","-68.4811"
"580571","44.2262","-68.4320"
"578021","44.2326","-68.4495"
"565517","44.2309","-68.4409"
"581715","44.2851","-68.4953"
"561182","44.2920","-68.5436"
"567971","44.2995","-68.5334"
"581377","44.3006","-68.5236"
"579985","44.3423","-68.5014"
"570221","44.3129","-68.4909"
"574848","44.3562","-68.5450"
"575759","44.3540","-68.5486"
"580319","44.4008","-68.5745"
"562597","44.3956","-68.5500"
"572986","44.4045","-68.5675"
"575074","44.4048","-68.5589"
"562593","44.4344","-68.5909"
"578691","44.3992","-68.5297"
"573233","44.4095","-68.5717"
"562592","44.4140","-68.5867"
"564781","44.4006","-68.5192"
"580340","44.4145","-68.5206"
"565524","44.4176","-68.5225"
"571661","44.4412","-68.4814"
"572134","44.4065","-68.4706"
"564277","44.4101","-68.4992"
"564278","44.4123","-68.5061"
"580731","44.4123","-68.4928"
"580730","44.4140","-68.4870"
"562366","44.4076","-68.4925"
"580726","44.4031","-68.4872"
"577933","44.4304","-68.4967"
"577554","44.4387","-68.4453"
"573064","44.4901","-68.4806"
"576566","44.4959","-68.5017"
"578283","44.4840","-68.4381"
"577553","44.4787","-68.4331"
"571325","44.4712","-68.4225"
"580699","44.4737","-68.4389"
"580055","44.4720","-68.4300"
"565863","44.5434","-68.4195"
"580174","44.5340","-68.4247"
"564990","44.2101","-68.6853"
"568802","44.1731","-68.5250"
"567493","44.1334","-68.5247"
"580687","44.1292","-68.5442"
"581704","44.1237","-68.5928"
"581705","44.1154","-68.5922"
"578932","44.1084","-68.6028"
"570983","44.1215","-68.6167"
"566951","44.1198","-68.6075"
"565814","44.2856","-68.6664"
"565073","44.2215","-68.5450"
"568157","44.2256","-68.5484"
"567841","44.3126","-68.8278"
"563488","44.3334","-68.7995"
"573887","44.3092","-68.7431"
"580024","44.2154","-68.5436"
"580025","44.2129","-68.5497"
"579972","44.2170","-68.6353"
"571820","44.2120","-68.6289"
"578358","44.2148","-68.5664"
"561839","44.2195","-68.5861"
"564276","44.2279","-68.5831"
"581711","44.2365","-68.5867"
"572061","44.2301","-68.5439"
"567589","44.2251","-68.5317"
"572060","44.2345","-68.5320"
"581944","44.2304","-68.5472"
"572470","44.2506","-68.5742"
"561393","44.2367","-68.5622"
"569661","44.2398","-68.5697"
"578940","44.2512","-68.5911"
"577204","44.2515","-68.6020"
"578882","44.2545","-68.6025"
"563749","44.2606","-68.5767"
"563011","44.2662","-68.5692"
"563900","44.2601","-68.5842"
"580188","44.2751","-68.6147"
"562047","44.2840","-68.6286"
"575222","44.3037","-68.6161"
"563465","44.2804","-68.6245"
"578110","44.2920","-68.6159"
"580763","44.2831","-68.6384"
"579562","44.2662","-68.6728"
"569744","44.2906","-68.7161"
"580041","44.1992","-68.5928"
"563325","44.2976","-68.6847"
"574928","44.3015","-68.6725"
"569745","44.2865","-68.6959"
"580757","44.3040","-68.7161"
"565813","44.3062","-68.7336"
"580903","44.3340","-68.7411"
"567590","44.3348","-68.7386"
"581770","44.3376","-68.7370"
"575825","44.3417","-68.7392"
"579993","44.3403","-68.7564"
"564286","44.3312","-68.7509"
"568304","44.3301","-68.7689"
"577978","44.3190","-68.7861"
"563107","44.3140","-68.7817"
"577072","44.3206","-68.7584"
"581934","44.3162","-68.7600"
"581917","44.3095","-68.7698"
"581950","44.3009","-68.7625"
"581822","44.3076","-68.7514"
"581945","44.3126","-68.7353"
"577502","44.2831","-68.7625"
"568158","44.2837","-68.7911"
"566122","44.2862","-68.7845"
"573601","44.2934","-68.8081"
"578255","44.2912","-68.8214"
"567245","44.2904","-68.8281"
"562459","44.2873","-68.8136"
"564989","44.1587","-68.6147"
"579093","44.1231","-68.6267"
"567242","44.1887","-68.5470"
"581810","44.1804","-68.5472"
"581871","44.1751","-68.5497"
"575266","44.1662","-68.5586"
"581798","44.1787","-68.5617"
"581901","44.1715","-68.5917"
"581776","44.1690","-68.5886"
"581772","44.1667","-68.6072"
"580013","44.1884","-68.6136"
"575409","44.1576","-68.5814"
"574661","44.1479","-68.5822"
"562710","44.1545","-68.6142"
"580036","44.1606","-68.6072"
"570779","44.1337","-68.7022"
"580364","44.1445","-68.6995"
"580368","44.1417","-68.6981"
"575931","44.2006","-68.6411"
"576360","44.1987","-68.5847"
"578407","44.1881","-68.6303"
"572667","44.1865","-68.6220"
"577921","44.1698","-68.6422"
"579091","44.1617","-68.6236"
"567347","44.1634","-68.6284"
"580781","44.1587","-68.6345"
"576391","44.1562","-68.6667"
"580371","44.1545","-68.6603"
"580365","44.1501","-68.6784"
"571597","44.1484","-68.6828"
"564581","44.1415","-68.6784"
"566134","44.1579","-68.7064"
"580363","44.1498","-68.7106"
"563226","44.1631","-68.6995"
"580153","44.1179","-68.6345"
"581768","44.1148","-68.6484"
"566739","44.1279","-68.6545"
"566069","44.1237","-68.6850"
"579094","44.1251","-68.7075"
"580151","44.1162","-68.7042"
"561595","44.1359","-68.6309"
"563115","44.1420","-68.6100"
"569724","44.1462","-68.6378"
"572204","44.1306","-68.6006"
"565914","44.1392","-68.5820"
"563401","44.1479","-68.6300"
"574341","44.1401","-68.6589"
"573275","44.1451","-68.5759"
"571381","44.1442","-68.5959"
"564332","44.1406","-68.6197"
"568888","44.1312","-68.6709"
"572006","43.9215","-69.4000"
"571716","43.8115","-69.4278"
"566535","43.8917","-69.3737"
"581909","43.8490","-69.3828"
"569765","43.8548","-69.3403"
"581969","43.8931","-69.3425"
"572705","43.8834","-69.3620"
"572706","43.8770","-69.3559"
"564489","43.8981","-69.3831"
"567587","43.9081","-69.3809"
"567508","43.9120","-69.3731"
"562454","43.9259","-69.3734"
"572819","43.9281","-69.3450"
"564462","43.9348","-69.3575"
"571704","43.9506","-69.3259"
"581769","43.9056","-69.3900"
"562455","43.9220","-69.3737"
"581849","43.9254","-69.3398"
"562106","43.9315","-69.3373"
"571705","43.9412","-69.3387"
"561573","43.9067","-69.4409"
"567412","43.8879","-69.4392"
"581486","43.8981","-69.4342"
"581760","43.8792","-69.4384"
"577934","43.8954","-69.4487"
"577940","43.8901","-69.4475"
"581695","43.8979","-69.4548"
"581677","43.9079","-69.4467"
"572118","43.8634","-69.4412"
"578250","43.8784","-69.4164"
"581721","43.8945","-69.4087"
"581720","43.8965","-69.4031"
"581722","43.8967","-69.4150"
"578715","43.9170","-69.3948"
"581745","43.9270","-69.3906"
"580705","43.9101","-69.4003"
"568961","43.9301","-69.3881"
"570812","43.9181","-69.4259"
"569164","43.9279","-69.4164"
"576947","43.9312","-69.4087"
"568576","43.9395","-69.4178"
"571112","43.9437","-69.3220"
"561415","43.9865","-69.3128"
"564579","43.9690","-69.3167"
"566598","43.9717","-69.3337"
"579969","43.9520","-69.3453"
"566715","43.9676","-69.3295"
"568764","43.9701","-69.3431"
"566596","43.9837","-69.3339"
"567752","43.9776","-69.3484"
"567386","43.9576","-69.3714"
"571109","44.0090","-69.3831"
"570851","43.9656","-69.3662"
"561417","44.0129","-69.3656"
"566330","43.9984","-69.3781"
"568130","43.9915","-69.4023"
"572656","43.9851","-69.4092"
"570149","44.0245","-69.3731"
"581435","44.0292","-69.3725"
"571108","44.0006","-69.4053"
"562993","44.0267","-69.4037"
"577782","44.0954","-69.3756"
"569850","43.8704","-69.4834"
"572116","43.8759","-69.4900"
"561402","43.8729","-69.4875"
"570186","43.8848","-69.4773"
"581887","43.8770","-69.4789"
"570427","43.9298","-69.4345"
"570428","43.9287","-69.4309"
